origem,alvo,h,modelo,y_true,media,q10,q20,q30,q40,q50,q60,q70,q80,q90
2017-02-01,2017-03-01,1,ardl_logdiff,0.004008,0.011699,-0.001843,0.002771,0.006130,0.010246,0.013225,0.016138,0.018708,0.019750,0.022503
2017-02-01,2017-03-01,1,ar1_logdiff,0.004008,0.012641,-0.002318,0.000886,0.006259,0.008247,0.012807,0.018336,0.020581,0.023450,0.026404
2017-02-01,2017-04-01,2,ardl_logdiff,0.003008,0.018698,-0.013997,-0.002856,0.005252,0.015189,0.022381,0.029414,0.035618,0.038133,0.044781
2017-02-01,2017-04-01,2,ar1_logdiff,0.003008,0.008732,-0.021344,-0.014902,-0.004099,-0.000103,0.009065,0.020182,0.024694,0.030463,0.036401
2017-03-01,2017-04-01,1,ardl_logdiff,0.003008,0.011208,-0.002100,0.003376,0.005377,0.010015,0.011797,0.016051,0.018755,0.019290,0.021684
2017-03-01,2017-04-01,1,ar1_logdiff,0.003008,0.001354,-0.013269,-0.009967,-0.005424,-0.002815,0.000848,0.006940,0.009141,0.011987,0.015316
2017-03-01,2017-05-01,2,ardl_logdiff,0.003992,0.002336,-0.029793,-0.016573,-0.011742,-0.000545,0.003758,0.014028,0.020556,0.021847,0.027627
2017-03-01,2017-05-01,2,ar1_logdiff,0.003992,-0.007349,-0.036796,-0.030146,-0.020998,-0.015743,-0.008367,0.003902,0.008333,0.014065,0.020769
2017-04-01,2017-05-01,1,ardl_logdiff,0.003992,-0.005637,-0.018960,-0.013528,-0.012154,-0.008263,-0.004914,-0.000608,0.001820,0.002773,0.005040
2017-04-01,2017-05-01,1,ar1_logdiff,0.003992,-0.005937,-0.020481,-0.016849,-0.012307,-0.010106,-0.005877,-0.000825,0.001461,0.004429,0.007752
2017-04-01,2017-06-01,2,ardl_logdiff,0.027015,0.002032,-0.030131,-0.017018,-0.013700,-0.004307,0.003778,0.014174,0.020035,0.022337,0.027809
2017-04-01,2017-06-01,2,ar1_logdiff,0.027015,0.003894,-0.025403,-0.018085,-0.008936,-0.004503,0.004015,0.014191,0.018796,0.024775,0.031469
2017-05-01,2017-06-01,1,ardl_logdiff,0.027015,0.011460,-0.002229,0.003408,0.004967,0.009765,0.012109,0.016916,0.018992,0.020049,0.021827
2017-05-01,2017-06-01,1,ar1_logdiff,0.027015,0.012442,-0.002218,0.001855,0.006008,0.008037,0.012944,0.017952,0.020596,0.022457,0.025418
2017-05-01,2017-07-01,2,ardl_logdiff,0.021913,0.003099,-0.029948,-0.016340,-0.012576,-0.000994,0.004665,0.016272,0.021282,0.023835,0.028128
2017-05-01,2017-07-01,2,ar1_logdiff,0.021913,0.001467,-0.028049,-0.019849,-0.011487,-0.007402,0.002478,0.012561,0.017885,0.021632,0.027593
2017-06-01,2017-07-01,1,ardl_logdiff,0.021913,0.018957,0.005139,0.010592,0.012188,0.017007,0.019682,0.024330,0.026108,0.027640,0.030283
2017-06-01,2017-07-01,1,ar1_logdiff,0.021913,0.014301,-0.000525,0.004201,0.007727,0.009550,0.014742,0.019696,0.022825,0.024902,0.028373
2017-06-01,2017-08-01,2,ardl_logdiff,0.040206,0.048713,0.015352,0.028517,0.032371,0.044006,0.050462,0.061684,0.065977,0.069674,0.076056
2017-06-01,2017-08-01,2,ar1_logdiff,0.040206,0.029018,-0.000782,0.008718,0.015803,0.019468,0.029904,0.039863,0.046151,0.050325,0.057303
2017-07-01,2017-08-01,1,ardl_logdiff,0.040206,0.051912,0.038182,0.043666,0.045573,0.049977,0.053678,0.056708,0.058813,0.060498,0.063086
2017-07-01,2017-08-01,1,ar1_logdiff,0.040206,0.035828,0.021018,0.026313,0.029514,0.031078,0.036139,0.041515,0.043967,0.046225,0.049510
2017-07-01,2017-09-01,2,ardl_logdiff,0.033935,0.034065,0.000918,0.014157,0.018759,0.029392,0.038326,0.045643,0.050725,0.054792,0.061041
2017-07-01,2017-09-01,2,ar1_logdiff,0.033935,0.022043,-0.007694,0.002939,0.009366,0.012507,0.022667,0.033462,0.038384,0.042918,0.049514
2017-08-01,2017-09-01,1,ardl_logdiff,0.033935,0.022636,0.009406,0.013347,0.016216,0.020118,0.024073,0.028029,0.029754,0.031651,0.034231
2017-08-01,2017-09-01,1,ar1_logdiff,0.033935,0.025990,0.011187,0.016332,0.019691,0.021419,0.026680,0.031435,0.033725,0.036132,0.039378
2017-08-01,2017-10-01,2,ardl_logdiff,0.056987,0.031627,-0.000314,0.009203,0.016128,0.025549,0.035098,0.044647,0.048811,0.053392,0.059620
2017-08-01,2017-10-01,2,ar1_logdiff,0.056987,0.035751,0.006036,0.016364,0.023106,0.026575,0.037137,0.046682,0.051278,0.056110,0.062626
2017-09-01,2017-10-01,1,ardl_logdiff,0.056987,0.043081,0.029938,0.033986,0.036839,0.039897,0.045375,0.047854,0.049936,0.052080,0.054711
2017-09-01,2017-10-01,1,ar1_logdiff,0.056987,0.042949,0.028070,0.033071,0.036543,0.038455,0.044019,0.048516,0.050724,0.052745,0.055980
2017-09-01,2017-11-01,2,ardl_logdiff,0.051650,0.033914,0.002186,0.011957,0.018845,0.026229,0.039453,0.045437,0.050464,0.055640,0.061993
2017-09-01,2017-11-01,2,ar1_logdiff,0.051650,0.030420,0.000561,0.010597,0.017565,0.021402,0.032567,0.041592,0.046023,0.050078,0.056572
2017-10-01,2017-11-01,1,ardl_logdiff,0.051650,0.048110,0.034825,0.038597,0.041749,0.044578,0.050688,0.052710,0.054914,0.057030,0.059823
2017-10-01,2017-11-01,1,ar1_logdiff,0.051650,0.043353,0.028291,0.033015,0.036545,0.039465,0.045643,0.048781,0.050888,0.053005,0.056348
2017-10-01,2017-12-01,2,ardl_logdiff,0.062216,0.032967,0.000893,0.010001,0.017610,0.024439,0.039190,0.044072,0.049393,0.054501,0.061245
2017-10-01,2017-12-01,2,ar1_logdiff,0.062216,0.024179,-0.006020,0.003451,0.010530,0.016385,0.028772,0.035063,0.039286,0.043533,0.050235
2017-11-01,2017-12-01,1,ardl_logdiff,0.062216,0.036703,0.023419,0.026960,0.030341,0.033385,0.039435,0.040821,0.043175,0.045554,0.048343
2017-11-01,2017-12-01,1,ar1_logdiff,0.062216,0.031945,0.016823,0.021324,0.025156,0.029554,0.035313,0.037391,0.039704,0.041242,0.044488
2017-11-01,2018-01-01,2,ardl_logdiff,0.031344,0.028108,-0.003961,0.004587,0.012749,0.020097,0.034703,0.038051,0.043734,0.049477,0.056210
2017-11-01,2018-01-01,2,ar1_logdiff,0.031344,0.021043,-0.009254,-0.000237,0.007442,0.016252,0.027790,0.031953,0.036588,0.039668,0.046172
2017-12-01,2018-01-01,1,ardl_logdiff,0.031344,0.055711,0.042591,0.045173,0.049312,0.052542,0.057020,0.059496,0.061623,0.064527,0.068070
2017-12-01,2018-01-01,1,ar1_logdiff,0.031344,0.050414,0.034711,0.038973,0.043117,0.048794,0.053071,0.055772,0.057417,0.060183,0.062489
2017-12-01,2018-02-01,2,ardl_logdiff,0.013699,0.049250,0.017575,0.023809,0.033803,0.041600,0.052410,0.058388,0.063524,0.070534,0.079088
2017-12-01,2018-02-01,2,ar1_logdiff,0.013699,0.038253,0.006825,0.015354,0.023648,0.035010,0.043570,0.048975,0.052266,0.057801,0.062418
