origem,alvo,h,modelo,y_true,q10,q20,q30,q40,q50,q60,q70,q80,q90,media
2018-01-01,2018-02-01,1,ardl,0.013793,0.016793,0.028058,0.030779,0.032556,0.035163,0.040533,0.045739,0.056142,0.058691,0.037993
2018-01-01,2018-02-01,1,ar1,0.013793,0.009693,0.019152,0.025223,0.027195,0.030528,0.032085,0.043234,0.050461,0.055039,0.032177
2018-01-01,2018-02-01,1,ens_mediana,0.013793,0.013243,0.023605,0.028001,0.029875,0.032846,0.036309,0.044486,0.053302,0.056865,0.035085
2018-01-01,2018-02-01,1,ens_media,0.013793,0.013243,0.023605,0.028001,0.029875,0.032846,0.036309,0.044486,0.053302,0.056865,0.035085
2018-01-01,2018-03-01,2,ardl,0.045000,0.010221,0.026152,0.030001,0.032514,0.036201,0.043796,0.051157,0.065869,0.069475,0.040204
2018-01-01,2018-03-01,2,ar1,0.045000,0.001115,0.014320,0.022797,0.025549,0.030202,0.032376,0.047941,0.058031,0.064422,0.032505
2018-01-01,2018-03-01,2,ens_mediana,0.045000,0.005668,0.020236,0.026399,0.029031,0.033202,0.038086,0.049549,0.061950,0.066948,0.036355
2018-01-01,2018-03-01,2,ens_media,0.045000,0.005668,0.020236,0.026399,0.029031,0.033202,0.038086,0.049549,0.061950,0.066948,0.036355
2018-02-01,2018-03-01,1,ardl,0.045000,0.000242,0.012577,0.015848,0.016991,0.020255,0.025237,0.029379,0.039062,0.045594,0.022616
2018-02-01,2018-03-01,1,ar1,0.045000,-0.007948,-0.000157,0.005663,0.009120,0.012399,0.013991,0.024694,0.032551,0.036998,0.013533
2018-02-01,2018-03-01,1,ens_mediana,0.045000,-0.003853,0.006210,0.010755,0.013056,0.016327,0.019614,0.027037,0.035806,0.041296,0.018074
2018-02-01,2018-03-01,1,ens_media,0.045000,-0.003853,0.006210,0.010755,0.013056,0.016327,0.019614,0.027037,0.035806,0.041296,0.018074
2018-02-01,2018-04-01,2,ardl,0.050050,-0.020229,-0.002786,0.001840,0.003457,0.008073,0.015119,0.020977,0.034670,0.043907,0.011412
2018-02-01,2018-04-01,2,ar1,0.050050,-0.016543,-0.005726,0.002356,0.007155,0.011708,0.013919,0.028779,0.039687,0.045863,0.013283
2018-02-01,2018-04-01,2,ens_mediana,0.050050,-0.018386,-0.004256,0.002098,0.005306,0.009891,0.014519,0.024878,0.037179,0.044885,0.012347
2018-02-01,2018-04-01,2,ens_media,0.050050,-0.018386,-0.004256,0.002098,0.005306,0.009891,0.014519,0.024878,0.037179,0.044885,0.012347
2018-03-01,2018-04-01,1,ardl,0.050050,0.003447,0.015737,0.018484,0.020411,0.023002,0.028807,0.034786,0.044207,0.046996,0.025758
2018-03-01,2018-04-01,1,ar1,0.050050,0.022906,0.031457,0.038088,0.040226,0.043513,0.045847,0.056337,0.064508,0.068692,0.045499
2018-03-01,2018-04-01,1,ens_mediana,0.050050,0.013176,0.023597,0.028286,0.030319,0.033257,0.037327,0.045562,0.054358,0.057844,0.035628
2018-03-01,2018-04-01,1,ens_media,0.050050,0.013176,0.023597,0.028286,0.030319,0.033257,0.037327,0.045562,0.054358,0.057844,0.035628
2018-03-01,2018-05-01,2,ardl,-0.068725,-0.011273,0.006109,0.009993,0.012719,0.016382,0.024592,0.033048,0.046371,0.050315,0.020280
2018-03-01,2018-05-01,2,ar1,-0.068725,0.014408,0.026359,0.035628,0.038616,0.043210,0.046472,0.061134,0.072555,0.078402,0.045986
2018-03-01,2018-05-01,2,ens_mediana,-0.068725,0.001568,0.016234,0.022810,0.025667,0.029796,0.035532,0.047091,0.059463,0.064359,0.033133
2018-03-01,2018-05-01,2,ens_media,-0.068725,0.001568,0.016234,0.022810,0.025667,0.029796,0.035532,0.047091,0.059463,0.064359,0.033133
2018-04-01,2018-05-01,1,ardl,-0.068725,0.017717,0.029472,0.031262,0.032337,0.037034,0.041016,0.049692,0.058239,0.060680,0.039394
2018-04-01,2018-05-01,1,ar1,-0.068725,0.028083,0.036905,0.043393,0.045805,0.049067,0.053709,0.061308,0.069149,0.073839,0.050789
2018-04-01,2018-05-01,1,ens_mediana,-0.068725,0.022900,0.033189,0.037327,0.039071,0.043051,0.047362,0.055500,0.063694,0.067260,0.045092
2018-04-01,2018-05-01,1,ens_media,-0.068725,0.022900,0.033189,0.037327,0.039071,0.043051,0.047362,0.055500,0.063694,0.067260,0.045092
2018-04-01,2018-06-01,2,ardl,0.036525,0.004479,0.021103,0.023635,0.025155,0.031798,0.037429,0.049699,0.061785,0.065239,0.035135
2018-04-01,2018-06-01,2,ar1,0.036525,0.019731,0.032080,0.041160,0.044537,0.049102,0.055599,0.066235,0.077210,0.083775,0.051513
2018-04-01,2018-06-01,2,ens_mediana,0.036525,0.012105,0.026592,0.032398,0.034846,0.040450,0.046514,0.057967,0.069498,0.074507,0.043324
2018-04-01,2018-06-01,2,ens_media,0.036525,0.012105,0.026592,0.032398,0.034846,0.040450,0.046514,0.057967,0.069498,0.074507,0.043324
2018-05-01,2018-06-01,1,ardl,0.036525,-0.070973,-0.058860,-0.056063,-0.052323,-0.046848,-0.042808,-0.038653,-0.028495,-0.021981,-0.047834
2018-05-01,2018-06-01,1,ar1,0.036525,-0.087843,-0.079216,-0.075178,-0.069823,-0.064725,-0.061907,-0.053299,-0.044834,-0.038449,-0.065814
2018-05-01,2018-06-01,1,ens_mediana,0.036525,-0.079408,-0.069038,-0.065621,-0.061073,-0.055787,-0.052357,-0.045976,-0.036665,-0.030215,-0.056824
2018-05-01,2018-06-01,1,ens_media,0.036525,-0.079408,-0.069038,-0.065621,-0.061073,-0.055787,-0.052357,-0.045976,-0.036665,-0.030215,-0.056824
2018-05-01,2018-07-01,2,ardl,0.031527,-0.073192,-0.056060,-0.052105,-0.046816,-0.039074,-0.033359,-0.027483,-0.013118,-0.003906,-0.040467
2018-05-01,2018-07-01,2,ar1,0.031527,-0.092893,-0.081256,-0.075809,-0.068587,-0.061710,-0.057909,-0.046298,-0.034880,-0.026267,-0.063178
2018-05-01,2018-07-01,2,ens_mediana,0.031527,-0.083042,-0.068658,-0.063957,-0.057701,-0.050392,-0.045634,-0.036890,-0.023999,-0.015087,-0.051823
2018-05-01,2018-07-01,2,ens_media,0.031527,-0.083042,-0.068658,-0.063957,-0.057701,-0.050392,-0.045634,-0.036890,-0.023999,-0.015087,-0.051823
2018-06-01,2018-07-01,1,ardl,0.031527,-0.049396,-0.044675,-0.036963,-0.029767,-0.023752,-0.019886,-0.013195,-0.008432,-0.003686,-0.026556
2018-06-01,2018-07-01,1,ar1,0.031527,0.007549,0.013913,0.017906,0.022066,0.030182,0.033424,0.042609,0.051649,0.055940,0.030061
2018-06-01,2018-07-01,1,ens_mediana,0.031527,-0.020924,-0.015381,-0.009529,-0.003850,0.003215,0.006769,0.014707,0.021608,0.026127,0.001752
2018-06-01,2018-07-01,1,ens_media,0.031527,-0.020924,-0.015381,-0.009529,-0.003850,0.003215,0.006769,0.014707,0.021608,0.026127,0.001752
2018-06-01,2018-08-01,2,ardl,0.022660,-0.047021,-0.040345,-0.029438,-0.019261,-0.010755,-0.005288,0.004175,0.010911,0.017622,-0.014721
2018-06-01,2018-08-01,2,ar1,0.022660,-0.005572,0.002897,0.008210,0.013747,0.024546,0.028861,0.041084,0.053113,0.058824,0.024386
2018-06-01,2018-08-01,2,ens_mediana,0.022660,-0.026297,-0.018724,-0.010614,-0.002757,0.006895,0.011787,0.022629,0.032012,0.038223,0.004832
2018-06-01,2018-08-01,2,ens_media,0.022660,-0.026297,-0.018724,-0.010614,-0.002757,0.006895,0.011787,0.022629,0.032012,0.038223,0.004832
2018-07-01,2018-08-01,1,ardl,0.022660,-0.024519,-0.015464,-0.008927,-0.005132,0.001169,0.006498,0.010287,0.018586,0.027528,0.000447
2018-07-01,2018-08-01,1,ar1,0.022660,0.003480,0.009805,0.013560,0.019434,0.025984,0.028698,0.036883,0.046920,0.051372,0.025753
2018-07-01,2018-08-01,1,ens_mediana,0.022660,-0.010519,-0.002829,0.002317,0.007151,0.013577,0.017598,0.023585,0.032753,0.039450,0.013100
2018-07-01,2018-08-01,1,ens_media,0.022660,-0.010519,-0.002829,0.002317,0.007151,0.013577,0.017598,0.023585,0.032753,0.039450,0.013100
2018-07-01,2018-09-01,2,ardl,-0.010795,-0.044341,-0.031534,-0.022290,-0.016923,-0.008012,-0.000476,0.004883,0.016619,0.029265,-0.009033
2018-07-01,2018-09-01,2,ar1,-0.010795,-0.008971,-0.000551,0.004448,0.012267,0.020986,0.024599,0.035496,0.048857,0.054784,0.020679
2018-07-01,2018-09-01,2,ens_mediana,-0.010795,-0.026656,-0.016043,-0.008921,-0.002328,0.006487,0.012062,0.020190,0.032738,0.042024,0.005823
2018-07-01,2018-09-01,2,ens_media,-0.010795,-0.026656,-0.016043,-0.008921,-0.002328,0.006487,0.012062,0.020190,0.032738,0.042024,0.005823
2018-08-01,2018-09-01,1,ardl,-0.010795,-0.019855,-0.012022,-0.004873,-0.000512,0.005354,0.009788,0.018806,0.022358,0.030435,0.004439
2018-08-01,2018-09-01,1,ar1,-0.010795,-0.003960,0.002220,0.005721,0.013213,0.018011,0.020522,0.027678,0.038684,0.043335,0.017819
2018-08-01,2018-09-01,1,ens_mediana,-0.010795,-0.011908,-0.004901,0.000424,0.006351,0.011682,0.015155,0.023242,0.030521,0.036885,0.011129
2018-08-01,2018-09-01,1,ens_media,-0.010795,-0.011908,-0.004901,0.000424,0.006351,0.011682,0.015155,0.023242,0.030521,0.036885,0.011129
2018-08-01,2018-10-01,2,ardl,-0.005831,-0.024694,-0.013616,-0.003506,0.002662,0.010956,0.017227,0.029981,0.035005,0.046427,0.009663
2018-08-01,2018-10-01,2,ar1,-0.005831,-0.015402,-0.007181,-0.002523,0.007444,0.013827,0.017168,0.026687,0.041329,0.047517,0.013572
2018-08-01,2018-10-01,2,ens_mediana,-0.005831,-0.020048,-0.010399,-0.003015,0.005053,0.012392,0.017198,0.028334,0.038167,0.046972,0.011617
2018-08-01,2018-10-01,2,ens_media,-0.005831,-0.020048,-0.010399,-0.003015,0.005053,0.012392,0.017198,0.028334,0.038167,0.046972,0.011617
2018-09-01,2018-10-01,1,ardl,-0.005831,-0.022034,-0.013204,-0.007498,-0.003050,0.003272,0.008330,0.014836,0.020689,0.028613,0.002384
2018-09-01,2018-10-01,1,ar1,-0.005831,-0.035751,-0.027712,-0.024548,-0.019264,-0.012339,-0.008990,-0.003846,0.009181,0.013922,-0.012366
2018-09-01,2018-10-01,1,ens_mediana,-0.005831,-0.028892,-0.020458,-0.016023,-0.011157,-0.004534,-0.000330,0.005495,0.014935,0.021267,-0.004991
2018-09-01,2018-10-01,1,ens_media,-0.005831,-0.028892,-0.020458,-0.016023,-0.011157,-0.004534,-0.000330,0.005495,0.014935,0.021267,-0.004991
2018-09-01,2018-11-01,2,ardl,-0.010649,-0.047438,-0.034951,-0.026882,-0.020591,-0.011651,-0.004498,0.004702,0.012981,0.024186,-0.012907
2018-09-01,2018-11-01,2,ar1,-0.010649,-0.044683,-0.034042,-0.029854,-0.022860,-0.013693,-0.009259,-0.002451,0.014793,0.021068,-0.013729
2018-09-01,2018-11-01,2,ens_mediana,-0.010649,-0.046061,-0.034497,-0.028368,-0.021726,-0.012672,-0.006879,0.001126,0.013887,0.022627,-0.013318
2018-09-01,2018-11-01,2,ens_media,-0.010649,-0.046061,-0.034497,-0.028368,-0.021726,-0.012672,-0.006879,0.001126,0.013887,0.022627,-0.013318
2018-10-01,2018-11-01,1,ardl,-0.010649,-0.040732,-0.031476,-0.025839,-0.023005,-0.015759,-0.010951,-0.005840,0.001704,0.009412,-0.016583
