origem,alvo,h,modelo,y_true,q10,q20,q30,q40,q50,q60,q70,q80,q90,media
2018-01-01,2018-02-01,1,portgdp_ols,0.013793,-0.027254,-0.020004,-0.012122,-0.000933,0.004801,0.008952,0.016928,0.020319,0.035277,0.002266
2018-01-01,2018-02-01,1,rw,0.013793,0.010843,0.021029,0.025951,0.030313,0.031981,0.035009,0.044759,0.052034,0.055657,0.031841
2018-01-01,2018-02-01,1,sazonal_naive,0.013793,-0.009537,0.025110,0.055481,0.087206,0.097286,0.102031,0.119251,0.130752,0.137142,0.025253
2018-01-01,2018-02-01,1,ar1,0.013793,0.009693,0.019152,0.025223,0.027195,0.030528,0.032085,0.043234,0.050461,0.055039,0.032177
2018-01-01,2018-03-01,2,portgdp_ols,0.045000,-0.002106,0.005144,0.013027,0.024215,0.029950,0.034101,0.042077,0.045467,0.060426,0.027414
2018-01-01,2018-03-01,2,rw,0.045000,0.002145,0.016551,0.023511,0.029681,0.032040,0.036321,0.050110,0.060399,0.065523,0.031841
2018-01-01,2018-03-01,2,sazonal_naive,0.045000,-0.030774,0.003874,0.034245,0.065969,0.076050,0.080795,0.098015,0.109516,0.115906,0.004016
2018-01-01,2018-03-01,2,ar1,0.045000,0.001115,0.014320,0.022797,0.025549,0.030202,0.032376,0.047941,0.058031,0.064422,0.032505
2018-02-01,2018-03-01,1,portgdp_ols,0.045000,-0.001054,0.005954,0.013569,0.025194,0.030949,0.036025,0.041909,0.045850,0.060644,0.028032
2018-02-01,2018-03-01,1,rw,0.045000,-0.007157,0.002354,0.007576,0.011225,0.013761,0.016274,0.026066,0.033722,0.037548,0.013793
2018-02-01,2018-03-01,1,sazonal_naive,0.045000,-0.028871,-0.007443,0.027285,0.064180,0.075381,0.079430,0.094655,0.108303,0.115765,0.004016
2018-02-01,2018-03-01,1,ar1,0.045000,-0.007948,-0.000157,0.005663,0.009120,0.012399,0.013991,0.024694,0.032551,0.036998,0.013533
2018-02-01,2018-04-01,2,portgdp_ols,0.050050,-0.058211,-0.051203,-0.043588,-0.031963,-0.026208,-0.021132,-0.015248,-0.011307,0.003487,-0.029125
2018-02-01,2018-04-01,2,rw,0.050050,-0.015835,-0.002384,0.005000,0.010162,0.013748,0.017301,0.031149,0.041977,0.047388,0.013793
2018-02-01,2018-04-01,2,sazonal_naive,0.050050,-0.029875,-0.008447,0.026281,0.063176,0.074377,0.078426,0.093651,0.107299,0.114761,0.003012
2018-02-01,2018-04-01,2,ar1,0.050050,-0.016543,-0.005726,0.002356,0.007155,0.011708,0.013919,0.028779,0.039687,0.045863,0.013283
2018-03-01,2018-04-01,1,portgdp_ols,0.050050,-0.057340,-0.049900,-0.043260,-0.031290,-0.025728,-0.019302,-0.013338,-0.011226,0.003419,-0.028616
2018-03-01,2018-04-01,1,rw,0.050050,0.024098,0.033718,0.038906,0.043126,0.045141,0.049102,0.058779,0.065831,0.069653,0.045000
2018-03-01,2018-04-01,1,sazonal_naive,0.050050,-0.027973,-0.005563,0.029026,0.051668,0.073708,0.077390,0.090291,0.106754,0.114620,0.003012
2018-03-01,2018-04-01,1,ar1,0.050050,0.022906,0.031457,0.038088,0.040226,0.043513,0.045847,0.056337,0.064508,0.068692,0.045499
2018-03-01,2018-05-01,2,portgdp_ols,-0.068725,-0.050775,-0.043335,-0.036695,-0.024725,-0.019163,-0.012737,-0.006773,-0.004661,0.009984,-0.022051
2018-03-01,2018-05-01,2,rw,-0.068725,0.015439,0.029045,0.036382,0.042349,0.045199,0.050801,0.064486,0.074460,0.079865,0.045000
2018-03-01,2018-05-01,2,sazonal_naive,-0.068725,-0.026985,-0.004575,0.030014,0.052656,0.074696,0.078378,0.091279,0.107742,0.115608,0.004000
2018-03-01,2018-05-01,2,ar1,-0.068725,0.014408,0.026359,0.035628,0.038616,0.043210,0.046472,0.061134,0.072555,0.078402,0.045986
2018-04-01,2018-05-01,1,portgdp_ols,-0.068725,-0.050103,-0.042567,-0.036092,-0.023200,-0.019107,-0.011899,-0.006414,-0.004148,0.010427,-0.019941
2018-04-01,2018-05-01,1,rw,-0.068725,0.029195,0.038925,0.044109,0.048616,0.050364,0.054724,0.063184,0.070669,0.074527,0.050050
2018-04-01,2018-05-01,1,sazonal_naive,-0.068725,-0.025083,-0.001691,0.033037,0.049827,0.070921,0.077342,0.088418,0.107197,0.115467,0.004000
2018-04-01,2018-05-01,1,ar1,-0.068725,0.028083,0.036905,0.043393,0.045805,0.049067,0.053709,0.061308,0.069149,0.073839,0.050789
