h,alvo,y_true,y_comb,erro_abs
1,2021-02-01,0.021590,0.021027,0.000563
1,2021-03-01,0.085106,0.009044,0.076062
1,2021-04-01,0.325828,0.048519,0.277309
1,2021-05-01,0.244772,0.265483,0.020711
1,2021-06-01,0.126257,0.186010,0.059753
1,2021-07-01,0.017418,0.084916,0.067498
1,2021-08-01,-0.012910,0.008822,0.021732
1,2021-09-01,-0.041586,-0.010243,0.031343
1,2021-10-01,-0.060000,-0.028664,0.031336
1,2021-11-01,-0.063567,-0.040613,0.022954
1,2021-12-01,-0.044805,-0.044567,0.000238
1,2022-01-01,-0.053030,-0.032203,0.020827
1,2022-02-01,-0.030740,-0.039215,0.008475
1,2022-03-01,-0.018627,-0.024647,0.006020
1,2022-04-01,0.005994,-0.016558,0.022552
1,2022-05-01,-0.009881,0.000353,0.010234
1,2022-06-01,-0.005952,-0.010071,0.004119
1,2022-07-01,0.018127,-0.006872,0.024999
1,2022-08-01,0.004024,0.008950,0.004926
1,2022-09-01,-0.009082,-0.000485,0.008597
1,2022-10-01,0.011145,-0.009668,0.020813
1,2022-11-01,0.011145,0.003353,0.007792
1,2022-12-01,-0.002994,0.002966,0.005960
1,2023-01-01,-0.003000,-0.006264,0.003264
1,2023-02-01,-0.013875,-0.005515,0.008360
1,2023-03-01,0.002997,-0.012243,0.015240
1,2023-04-01,-0.007944,-0.000817,0.007127
1,2023-05-01,0.003992,-0.007975,0.011967
1,2023-06-01,-0.000998,-0.000336,0.000662
2,2021-03-01,0.085106,0.001826,0.083280
2,2021-04-01,0.325828,-0.001082,0.326910
2,2021-05-01,0.244772,0.027329,0.217443
2,2021-06-01,0.126257,0.179054,0.052797
2,2021-07-01,0.017418,0.109015,0.091597
2,2021-08-01,-0.012910,0.040865,0.053775
2,2021-09-01,-0.041586,0.001885,0.043471
2,2021-10-01,-0.060000,-0.006517,0.053483
2,2021-11-01,-0.063567,-0.014728,0.048839
2,2021-12-01,-0.044805,-0.019126,0.025679
2,2022-01-01,-0.053030,-0.023844,0.029186
2,2022-02-01,-0.030740,-0.021692,0.009048
2,2022-03-01,-0.018627,-0.030490,0.011863
2,2022-04-01,0.005994,-0.024053,0.030047
2,2022-05-01,-0.009881,-0.018301,0.008420
2,2022-06-01,-0.005952,-0.008493,0.002541
2,2022-07-01,0.018127,-0.012685,0.030812
2,2022-08-01,0.004024,-0.010076,0.014100
2,2022-09-01,-0.009082,-0.000012,0.009070
2,2022-10-01,0.011145,-0.005858,0.017003
2,2022-11-01,0.011145,-0.011849,0.022994
2,2022-12-01,-0.002994,-0.006925,0.003931
2,2023-01-01,-0.003000,-0.008181,0.005181
2,2023-02-01,-0.013875,-0.011217,0.002658
2,2023-03-01,0.002997,-0.008314,0.011311
2,2023-04-01,-0.007944,-0.010271,0.002327
2,2023-05-01,0.003992,-0.004481,0.008473
2,2023-06-01,-0.000998,-0.009476,0.008478
2,2023-07-01,-0.015826,-0.005988,0.009838
