chave,porto,natureza,sentido,n_obs,n_nan,n_zero,streak_nan_max,excluida,motivo
Terminal Marítimo de Ponta da Madeira|Carga Conteinerizada|Desembarcados,Terminal Marítimo de Ponta da Madeira,Carga Conteinerizada,Desembarcados,0,144,0,144,True,144 meses zero/NA > 24
Terminal Marítimo de Ponta da Madeira|Carga Conteinerizada|Embarcados,Terminal Marítimo de Ponta da Madeira,Carga Conteinerizada,Embarcados,0,144,0,144,True,144 meses zero/NA > 24
Terminal Marítimo de Ponta da Madeira|Carga Geral|Desembarcados,Terminal Marítimo de Ponta da Madeira,Carga Geral,Desembarcados,0,144,0,144,True,144 meses zero/NA > 24
Terminal Marítimo de Ponta da Madeira|Carga Geral|Embarcados,Terminal Marítimo de Ponta da Madeira,Carga Geral,Embarcados,0,144,0,144,True,144 meses zero/NA > 24
Terminal Marítimo de Ponta da Madeira|Granel Sólido|Desembarcados,Terminal Marítimo de Ponta da Madeira,Granel Sólido,Desembarcados,0,144,0,144,True,144 meses zero/NA > 24
Terminal Marítimo de Ponta da Madeira|Granel Sólido|Embarcados,Terminal Marítimo de Ponta da Madeira,Granel Sólido,Embarcados,144,0,0,0,False,
Terminal Marítimo de Ponta da Madeira|Granel Líquido e Gasoso|Desembarcados,Terminal Marítimo de Ponta da Madeira,Granel Líquido e Gasoso,Desembarcados,0,144,0,144,True,144 meses zero/NA > 24
Terminal Marítimo de Ponta da Madeira|Granel Líquido e Gasoso|Embarcados,Terminal Marítimo de Ponta da Madeira,Granel Líquido e Gasoso,Embarcados,0,144,0,144,True,144 meses zero/NA > 24
Santos|Carga Conteinerizada|Desembarcados,Santos,Carga Conteinerizada,Desembarcados,144,0,0,0,False,
Santos|Carga Conteinerizada|Embarcados,Santos,Carga Conteinerizada,Embarcados,144,0,0,0,False,
Santos|Carga Geral|Desembarcados,Santos,Carga Geral,Desembarcados,144,0,0,0,False,
Santos|Carga Geral|Embarcados,Santos,Carga Geral,Embarcados,144,0,0,0,False,
Santos|Granel Sólido|Desembarcados,Santos,Granel Sólido,Desembarcados,144,0,0,0,False,
Santos|Granel Sólido|Embarcados,Santos,Granel Sólido,Embarcados,144,0,0,0,False,
Santos|Granel Líquido e Gasoso|Desembarcados,Santos,Granel Líquido e Gasoso,Desembarcados,144,0,0,0,False,
Santos|Granel Líquido e Gasoso|Embarcados,Santos,Granel Líquido e Gasoso,Embarcados,144,0,0,0,False,
Terminal de Tubarão|Carga Conteinerizada|Desembarcados,Terminal de Tubarão,Carga Conteinerizada,Desembarcados,0,144,0,144,True,144 meses zero/NA > 24
Terminal de Tubarão|Carga Conteinerizada|Embarcados,Terminal de Tubarão,Carga Conteinerizada,Embarcados,0,144,0,144,True,144 meses zero/NA > 24
Terminal de Tubarão|Carga Geral|Desembarcados,Terminal de Tubarão,Carga Geral,Desembarcados,0,144,0,144,True,144 meses zero/NA > 24
Terminal de Tubarão|Carga Geral|Embarcados,Terminal de Tubarão,Carga Geral,Embarcados,0,144,0,144,True,144 meses zero/NA > 24
Terminal de Tubarão|Granel Sólido|Desembarcados,Terminal de Tubarão,Granel Sólido,Desembarcados,131,13,0,2,False,
Terminal de Tubarão|Granel Sólido|Embarcados,Terminal de Tubarão,Granel Sólido,Embarcados,144,0,0,0,False,
Terminal de Tubarão|Granel Líquido e Gasoso|Desembarcados,Terminal de Tubarão,Granel Líquido e Gasoso,Desembarcados,24,120,0,64,True,120 meses zero/NA > 24
Terminal de Tubarão|Granel Líquido e Gasoso|Embarcados,Terminal de Tubarão,Granel Líquido e Gasoso,Embarcados,0,144,0,144,True,144 meses zero/NA > 24
Itaguaí|Carga Conteinerizada|Desembarcados,Itaguaí,Carga Conteinerizada,Desembarcados,144,0,0,0,False,
Itaguaí|Carga Conteinerizada|Embarcados,Itaguaí,Carga Conteinerizada,Embarcados,144,0,0,0,False,
Itaguaí|Carga Geral|Desembarcados,Itaguaí,Carga Geral,Desembarcados,122,22,0,3,True,streak NaN consecutivo 3 > 2
Itaguaí|Carga Geral|Embarcados,Itaguaí,Carga Geral,Embarcados,134,10,0,8,True,streak NaN consecutivo 8 > 2
