mes,dfm_1f_f1,dfm_2f_f1,dfm_2f_f2
2015-01-01,-0.387256,-0.122337,-1.594826
2015-02-01,-0.368748,-0.638823,-1.230132
2015-03-01,0.597197,0.313682,-1.163988
2015-04-01,1.856310,1.239663,-1.203338
2015-05-01,2.716853,1.795542,-0.981705
2015-06-01,3.161301,1.605247,-0.762650
2015-07-01,3.949436,2.006214,-1.210897
2015-08-01,4.940929,2.771361,-1.385942
2015-09-01,5.652770,3.075400,-2.004416
2015-10-01,5.863809,3.026381,-2.114949
2015-11-01,5.840095,3.237118,-1.589559
2015-12-01,5.636075,3.314650,-1.226574
2016-01-01,5.180603,2.647209,-0.940273
2016-02-01,4.945572,2.782858,-1.393552
2016-03-01,4.123641,2.309616,-1.447345
2016-04-01,2.550923,1.236051,-1.342676
2016-05-01,0.665964,0.011454,-1.056880
2016-06-01,-1.100089,-0.428076,-1.155403
2016-07-01,-3.345976,-1.882211,-0.819169
2016-08-01,-5.447488,-3.003963,-0.269273
2016-09-01,-6.951697,-3.735607,-0.159756
2016-10-01,-7.854272,-4.344478,-0.234079
2016-11-01,-8.016784,-4.579862,-0.240540
2016-12-01,-7.294423,-4.249352,-0.241922
2017-01-01,-5.788302,-3.157260,-0.376237
2017-02-01,-4.317468,-2.018732,0.002864
2017-03-01,-3.405870,-2.030475,0.268974
2017-04-01,-2.292875,-1.288770,0.157459
2017-05-01,-0.982260,-0.456125,0.339297
2017-06-01,0.625539,0.372207,0.916665
2017-07-01,2.775322,1.716643,1.063122
2017-08-01,4.918675,2.658273,0.936082
2017-09-01,6.647150,3.696160,1.569269
2017-10-01,7.580595,4.732336,1.420077
2017-11-01,6.703125,4.162563,0.783403
2017-12-01,4.290558,2.125297,0.849966
2018-01-01,2.064262,1.122375,0.913030
2018-02-01,0.573381,0.363768,0.759481
2018-03-01,-0.177366,0.098737,0.150424
2018-04-01,-0.759104,-0.252980,-0.309926
2018-05-01,-1.432179,-1.105887,-1.011647
2018-06-01,-1.890288,-1.371942,-1.379350
2018-07-01,-2.114547,-1.285522,-1.143102
2018-08-01,-2.143857,-1.248584,-0.824767
2018-09-01,-1.877172,-1.268482,-1.388373
2018-10-01,-1.335118,-1.231715,-1.540948
2018-11-01,-0.402032,-0.467700,-1.665355
2018-12-01,0.219583,-0.006110,-2.050154
2019-01-01,-0.020861,-0.352777,-2.357316
2019-02-01,-0.918945,-0.742733,-2.490581
2019-03-01,-2.164332,-1.520801,-2.246167
2019-04-01,-2.855112,-2.179902,-2.213457
2019-05-01,-2.266548,-1.630982,-2.395004
2019-06-01,-0.952810,-0.533554,-2.809573
2019-07-01,-0.115729,-0.502905,-3.463432
2019-08-01,0.153744,-0.540736,-3.877685
2019-09-01,-0.028079,-0.721909,-3.733413
2019-10-01,-0.377175,-0.282712,-3.563678
2019-11-01,-1.355103,-1.129081,-3.444533
2019-12-01,-2.095016,-1.664900,-3.089901
2020-01-01,-1.756405,-1.283009,-2.803635
2020-02-01,-0.320666,-0.639150,-2.724950
2020-03-01,2.003954,0.752149,-2.926436
2020-04-01,4.029422,2.389359,-2.507780
2020-05-01,4.493531,2.780950,-1.872163
2020-06-01,3.396106,1.520158,-1.225957
2020-07-01,2.320090,0.997170,-0.695800
2020-08-01,1.830085,1.222955,-0.592711
2020-09-01,1.348934,0.972351,-0.198962
2020-10-01,0.817823,0.488708,0.210244
2020-11-01,0.469197,0.580463,1.246481
2020-12-01,0.163562,0.531513,1.642654
2021-01-01,-0.313860,-0.146925,2.076170
2021-02-01,-0.452898,-0.304853,1.957051
2021-03-01,-0.518998,-0.024546,2.120261
2021-04-01,-1.204807,-0.587985,2.044874
2021-05-01,-2.525758,-1.246853,2.113369
2021-06-01,-4.360770,-2.590192,1.526222
2021-07-01,-6.153786,-3.370892,0.853626
2021-08-01,-7.748885,-4.540903,0.110113
2021-09-01,-8.294800,-5.038154,-0.945885
2021-10-01,-7.304107,-4.925690,-1.918313
2021-11-01,-4.658054,-3.131364,-3.515343
2021-12-01,-1.987082,-1.891134,-4.432776
2022-01-01,-0.129916,-0.536838,-5.060385
2022-02-01,0.060532,-0.485017,-5.015988
2022-03-01,-0.773002,-1.310576,-5.033885
2022-04-01,-1.172768,-1.597533,-5.709709
2022-05-01,-0.491960,-1.209960,-6.255036
2022-06-01,1.231116,-0.023906,-6.403365
2022-07-01,3.330397,0.962362,-6.636427
2022-08-01,5.246086,2.337432,-6.011920
2022-09-01,6.189876,2.653953,-5.439686
2022-10-01,6.022079,3.181011,-4.793725
2022-11-01,4.199781,1.652640,-3.691114
2022-12-01,2.230494,0.874391,-3.213404
2023-01-01,0.583743,0.027518,-2.869580
2023-02-01,-0.206699,-0.445646,-2.439986
2023-03-01,0.041124,0.104729,-1.882758
2023-04-01,0.675774,0.622536,-0.916003
2023-05-01,1.328544,0.880984,-0.238338
2023-06-01,2.001339,1.256620,0.540374
2023-07-01,2.508753,2.040153,1.682066
2023-08-01,2.434919,1.714227,1.663176
2023-09-01,1.917562,1.621622,2.007035
2023-10-01,1.089857,0.868428,3.319316
2023-11-01,0.904672,1.255906,3.879447
2023-12-01,0.854808,1.152466,3.804160
2024-01-01,0.769764,1.056649,4.254729
2024-02-01,0.595061,1.083326,4.992340
2024-03-01,0.218243,0.628747,5.358287
2024-04-01,-0.271030,0.525512,6.281017
2024-05-01,-0.934190,0.081680,6.439717
2024-06-01,-1.795719,-0.018896,8.175030
2024-07-01,-2.711659,-0.710889,8.267120
2024-08-01,-3.407897,-1.212847,7.803837
2024-09-01,-3.864292,-1.293530,7.877014
