h,origem,alvo,y_true,y_dfm,y_ar1,y_comb,w_dfm,truncado,n_treino_gr
1,2018-01-01,2018-02-01,0.013793,-0.050744,0.030528,,,False,0
1,2018-02-01,2018-03-01,0.045000,-0.048332,0.012399,,,False,1
1,2018-03-01,2018-04-01,0.050050,-0.047441,0.043513,,,False,2
1,2018-04-01,2018-05-01,-0.068725,-0.047156,0.049067,,,False,3
1,2018-05-01,2018-06-01,0.036525,-0.048521,-0.064725,,,False,4
1,2018-06-01,2018-07-01,0.031527,-0.049993,0.030182,,,False,5
1,2018-07-01,2018-08-01,0.022660,-0.045914,0.025984,,,False,6
1,2018-08-01,2018-09-01,-0.010795,-0.042769,0.018011,,,False,7
1,2018-09-01,2018-10-01,-0.005831,-0.036178,-0.012339,,,False,8
1,2018-10-01,2018-11-01,-0.010649,-0.029892,-0.006676,,,False,9
1,2018-11-01,2018-12-01,-0.038643,-0.020723,-0.012198,,,False,10
1,2018-12-01,2019-01-01,-0.021215,-0.030496,-0.038006,,,False,11
1,2019-01-01,2019-02-01,-0.010690,-0.025725,-0.021341,,,False,12
1,2019-02-01,2019-03-01,-0.031579,-0.021424,-0.010735,,,False,13
1,2019-03-01,2019-04-01,-0.028599,-0.025120,-0.030185,,,False,14
1,2019-04-01,2019-05-01,0.088770,-0.028077,-0.026081,,,False,15
1,2019-05-01,2019-06-01,-0.040000,-0.023813,0.074986,,,False,16
1,2019-06-01,2019-07-01,-0.042025,-0.028872,-0.035156,,,False,17
1,2019-07-01,2019-08-01,-0.024085,-0.029972,-0.036802,,,False,18
1,2019-08-01,2019-09-01,0.005952,-0.029220,-0.022777,,,False,19
1,2019-09-01,2019-10-01,0.013685,-0.026696,0.000609,,,False,20
1,2019-10-01,2019-11-01,-0.009785,-0.024798,0.006936,,,False,21
1,2019-11-01,2019-12-01,-0.021569,-0.023254,-0.011696,,,False,22
1,2019-12-01,2020-01-01,-0.002956,-0.021569,-0.020945,,,False,23
1,2020-01-01,2020-02-01,0.000982,-0.021055,-0.006422,,,False,24
1,2020-02-01,2020-03-01,-0.071146,-0.020586,-0.003284,,,False,25
1,2020-03-01,2020-04-01,-0.259078,-0.021603,-0.059320,,,False,26
1,2020-04-01,2020-05-01,-0.201375,-0.022499,-0.215912,,,False,27
1,2020-05-01,2020-06-01,-0.112103,-0.026050,-0.164089,,,False,28
1,2020-06-01,2020-07-01,-0.026919,-0.026998,-0.090091,,,False,29
1,2020-07-01,2020-08-01,-0.005923,-0.026698,-0.025725,,,False,30
1,2020-08-01,2020-09-01,0.019724,-0.026028,-0.009532,,,False,31
1,2020-09-01,2020-10-01,0.012536,-0.023777,0.011770,,,False,32
1,2020-10-01,2020-11-01,0.041502,-0.021766,0.007165,,,False,33
1,2020-11-01,2020-12-01,0.051102,-0.021144,0.029562,,,False,34
1,2020-12-01,2021-01-01,0.043478,-0.021139,0.037545,,,False,35
1,2021-01-01,2021-02-01,0.021590,-0.016184,0.032459,0.021027,0.235023,False,36
1,2021-02-01,2021-03-01,0.085106,-0.010659,0.015090,0.009044,0.234812,False,37
1,2021-03-01,2021-04-01,0.325828,-0.011693,0.065481,0.048519,0.219787,False,38
1,2021-04-01,2021-05-01,0.244772,-0.012138,0.284080,0.265483,0.062782,False,39
1,2021-05-01,2021-06-01,0.126257,-0.012048,0.205637,0.186010,0.090163,False,40
1,2021-06-01,2021-07-01,0.017418,-0.010894,0.100265,0.084916,0.138083,False,41
1,2021-07-01,2021-08-01,-0.012910,-0.007361,0.012009,0.008822,0.164521,False,42
1,2021-08-01,2021-09-01,-0.041586,-0.003388,-0.011607,-0.010243,0.166002,False,43
1,2021-09-01,2021-10-01,-0.060000,-0.000534,-0.034226,-0.028664,0.165096,False,44
1,2021-10-01,2021-11-01,-0.063567,0.003171,-0.049040,-0.040613,0.161396,False,45
1,2021-11-01,2021-12-01,-0.044805,-0.001402,-0.052620,-0.044567,0.157237,False,46
1,2021-12-01,2022-01-01,-0.053030,-0.004697,-0.037333,-0.032203,0.157195,False,47
1,2022-01-01,2022-02-01,-0.030740,-0.010524,-0.044472,-0.039215,0.154865,False,48
1,2022-02-01,2022-03-01,-0.018627,-0.014852,-0.026455,-0.024647,0.155847,False,49
1,2022-03-01,2022-04-01,0.005994,-0.016417,-0.016584,-0.016558,0.156085,False,50
1,2022-04-01,2022-05-01,-0.009881,-0.013636,0.002940,0.000353,0.156098,False,51
1,2022-05-01,2022-06-01,-0.005952,-0.011489,-0.009807,-0.010071,0.156677,False,52
1,2022-06-01,2022-07-01,0.018127,-0.010114,-0.006270,-0.006872,0.156653,False,53
1,2022-07-01,2022-08-01,0.004024,-0.010359,0.012528,0.008950,0.156325,False,54
1,2022-08-01,2022-09-01,-0.009082,-0.010783,0.001429,-0.000485,0.156709,False,55
1,2022-09-01,2022-10-01,0.011145,-0.012268,-0.009183,-0.009668,0.157066,False,56
1,2022-10-01,2022-11-01,0.011145,-0.015858,0.006927,0.003353,0.156848,False,57
1,2022-11-01,2022-12-01,-0.002994,-0.019377,0.007104,0.002966,0.156245,False,58
1,2022-12-01,2023-01-01,-0.003000,-0.018543,-0.003981,-0.006264,0.156780,False,59
1,2023-01-01,2023-02-01,-0.013875,-0.014419,-0.003862,-0.005515,0.156619,False,60
1,2023-02-01,2023-03-01,0.002997,-0.011552,-0.012372,-0.012243,0.156917,False,61
1,2023-03-01,2023-04-01,-0.007944,-0.009218,0.000747,-0.000817,0.156960,False,62
1,2023-04-01,2023-05-01,0.003992,-0.008980,-0.007787,-0.007975,0.157200,False,63
1,2023-05-01,2023-06-01,-0.000998,-0.010207,0.001505,-0.000336,0.157151,False,64
1,2023-06-01,2023-07-01,-0.015826,-0.011873,-0.002433,-0.003917,0.157178,False,65
1,2023-07-01,2023-08-01,0.002004,-0.014000,-0.014369,-0.014311,0.157558,False,66
1,2023-08-01,2023-09-01,0.014257,-0.014303,-0.000106,-0.002343,0.157578,False,67
1,2023-09-01,2023-10-01,0.003006,-0.013070,0.009435,0.005907,0.156782,False,68
1,2023-10-01,2023-11-01,0.014028,-0.013555,0.000661,-0.001571,0.157002,False,69
1,2023-11-01,2023-12-01,0.032032,-0.012399,0.009281,0.005893,0.156255,False,70
1,2023-12-01,2024-01-01,0.020060,-0.011497,0.023671,0.018243,0.154349,False,71
1,2024-01-01,2024-02-01,0.022111,-0.010988,0.014078,0.010214,0.154135,False,72
1,2024-02-01,2024-03-01,0.017928,-0.011069,0.016102,0.011941,0.153138,False,73
1,2024-03-01,2024-04-01,0.020020,-0.010247,0.013055,0.009499,0.152596,False,74
1,2024-04-01,2024-05-01,0.000000,-0.010232,0.014815,0.011013,0.151780,False,75
1,2024-05-01,2024-06-01,0.049950,-0.009679,-0.000858,-0.002205,0.152696,False,76
1,2024-06-01,2024-07-01,0.040201,-0.008688,0.038004,0.030946,0.151168,False,77
1,2024-07-01,2024-08-01,0.033000,-0.005310,0.030787,0.025382,0.149744,False,78
1,2024-08-01,2024-09-01,0.047189,-0.001649,0.025481,0.021443,0.148841,False,79
1,2024-09-01,2024-10-01,0.041958,0.002811,0.037021,0.032007,0.146554,False,80
1,2024-10-01,2024-11-01,0.024704,0.003792,0.033366,0.029065,0.145443,False,81
1,2024-11-01,2024-12-01,0.005820,0.006528,0.019563,0.017662,0.145863,False,82
1,2024-12-01,2025-01-01,0.018682,0.007656,0.004412,0.004887,0.146365,False,83
1,2025-01-01,2025-02-01,0.012783,0.007921,0.014841,0.013827,0.146510,False,84
1,2025-02-01,2025-03-01,0.027397,0.005016,0.009830,0.009125,0.146533,False,85
1,2025-03-01,2025-04-01,0.024534,0.001601,0.021719,0.018777,0.146248,False,86
1,2025-04-01,2025-05-01,0.031809,-0.000519,0.019813,0.016847,0.145872,False,87
1,2025-05-01,2025-06-01,-0.011418,-0.000450,0.025542,0.021776,0.144886,False,88
1,2025-06-01,2025-07-01,0.001932,-0.000848,-0.008098,-0.007027,0.147676,False,89
1,2025-07-01,2025-08-01,0.011617,-0.000045,0.002318,0.001969,0.147886,False,90
1,2025-08-01,2025-09-01,-0.001918,-0.000443,0.009887,0.008360,0.147813,False,91
1,2025-09-01,2025-10-01,-0.000959,-0.001372,-0.000668,-0.000772,0.148156,False,92
1,2025-10-01,2025-11-01,0.003857,-0.003083,0.000025,-0.000435,0.148156,False,93
2,2018-01-01,2018-03-01,0.045000,-0.044460,0.030202,,,False,0
2,2018-02-01,2018-04-01,0.050050,-0.046235,0.011708,,,False,1
2,2018-03-01,2018-05-01,-0.068725,-0.045732,0.043210,,,False,2
2,2018-04-01,2018-06-01,0.036525,-0.046983,0.049102,,,False,3
2,2018-05-01,2018-07-01,0.031527,-0.049264,-0.061710,,,False,4
2,2018-06-01,2018-08-01,0.022660,-0.051474,0.024546,,,False,5
2,2018-07-01,2018-09-01,-0.010795,-0.054422,0.020986,,,False,6
2,2018-08-01,2018-10-01,-0.005831,-0.048818,0.013827,,,False,7
2,2018-09-01,2018-11-01,-0.010649,-0.043904,-0.013693,,,False,8
2,2018-10-01,2018-12-01,-0.038643,-0.035187,-0.008074,,,False,9
2,2018-11-01,2019-01-01,-0.021215,-0.025215,-0.013515,,,False,10
2,2018-12-01,2019-02-01,-0.010690,-0.034094,-0.036891,,,False,11
2,2019-01-01,2019-03-01,-0.031579,-0.024653,-0.021578,,,False,12
2,2019-02-01,2019-04-01,-0.028599,-0.021726,-0.011601,,,False,13
2,2019-03-01,2019-05-01,0.088770,-0.023604,-0.029253,,,False,14
2,2019-04-01,2019-06-01,-0.040000,-0.025817,-0.024990,,,False,15
2,2019-05-01,2019-07-01,-0.042025,-0.028016,0.063233,,,False,16
2,2019-06-01,2019-08-01,-0.024085,-0.028008,-0.032121,,,False,17
2,2019-07-01,2019-09-01,0.005952,-0.029888,-0.033490,,,False,18
2,2019-08-01,2019-10-01,0.013685,-0.028467,-0.022410,,,False,19
2,2019-09-01,2019-11-01,-0.009785,-0.027760,-0.003934,,,False,20
2,2019-10-01,2019-12-01,-0.021569,-0.025187,0.001300,,,False,21
2,2019-11-01,2020-01-01,-0.002956,-0.023990,-0.013558,,,False,22
2,2019-12-01,2020-02-01,0.000982,-0.022249,-0.020871,,,False,23
2,2020-01-01,2020-03-01,-0.071146,-0.020666,-0.009399,,,False,24
2,2020-02-01,2020-04-01,-0.259078,-0.020576,-0.006848,,,False,25
2,2020-03-01,2020-05-01,-0.201375,-0.020701,-0.050819,,,False,26
2,2020-04-01,2020-06-01,-0.112103,-0.021232,-0.183040,,,False,27
2,2020-05-01,2020-07-01,-0.026919,-0.025986,-0.137018,,,False,28
2,2020-06-01,2020-08-01,-0.005923,-0.026949,-0.075176,,,False,29
2,2020-07-01,2020-09-01,0.019724,-0.024740,-0.025907,,,False,30
2,2020-08-01,2020-10-01,0.012536,-0.023516,-0.013414,,,False,31
2,2020-09-01,2020-11-01,0.041502,-0.021769,0.003825,,,False,32
2,2020-10-01,2020-12-01,0.051102,-0.019923,0.000818,,,False,33
2,2020-11-01,2021-01-01,0.043478,-0.018450,0.018347,,,False,34
2,2020-12-01,2021-02-01,0.021590,-0.018949,0.025090,,,False,35
2,2021-01-01,2021-03-01,0.085106,-0.019327,0.021715,0.001826,0.484600,False,36
2,2021-02-01,2021-04-01,0.325828,-0.012215,0.008061,-0.001082,0.450944,False,37
2,2021-03-01,2021-05-01,0.244772,-0.006179,0.048389,0.027329,0.385937,False,38
2,2021-04-01,2021-06-01,0.126257,-0.007032,0.248887,0.179054,0.272872,False,39
2,2021-05-01,2021-07-01,0.017418,-0.008578,0.172934,0.109015,0.352149,False,40
2,2021-06-01,2021-08-01,-0.012910,-0.008989,0.079076,0.040865,0.433895,False,41
2,2021-07-01,2021-09-01,-0.041586,-0.004524,0.007265,0.001885,0.456324,False,42
2,2021-08-01,2021-10-01,-0.060000,-0.000959,-0.011228,-0.006517,0.458750,False,43
2,2021-09-01,2021-11-01,-0.063567,0.002408,-0.029101,-0.014728,0.456152,False,44
2,2021-10-01,2021-12-01,-0.044805,0.007725,-0.040998,-0.019126,0.448906,False,45
2,2021-11-01,2022-01-01,-0.053030,0.001828,-0.044269,-0.023844,0.443080,False,46
2,2021-12-01,2022-02-01,-0.030740,-0.008393,-0.032009,-0.021692,0.436876,False,47
2,2022-01-01,2022-03-01,-0.018627,-0.020760,-0.038009,-0.030490,0.435893,False,48
2,2022-02-01,2022-04-01,0.005994,-0.024633,-0.023603,-0.024053,0.436833,False,49
2,2022-03-01,2022-05-01,-0.009881,-0.021691,-0.015673,-0.018301,0.436691,False,50
2,2022-04-01,2022-06-01,-0.005952,-0.019192,-0.000206,-0.008493,0.436458,False,51
2,2022-05-01,2022-07-01,0.018127,-0.015694,-0.010356,-0.012685,0.436237,False,52
2,2022-06-01,2022-08-01,0.004024,-0.013611,-0.007349,-0.010076,0.435483,False,53
2,2022-07-01,2022-09-01,-0.009082,-0.009661,0.007419,-0.000012,0.435079,False,54
2,2022-08-01,2022-10-01,0.011145,-0.011761,-0.001299,-0.005858,0.435788,False,55
2,2022-09-01,2022-11-01,0.011145,-0.014532,-0.009784,-0.011849,0.434974,False,56
2,2022-10-01,2022-12-01,-0.002994,-0.019860,0.003013,-0.006925,0.434475,False,57
2,2022-11-01,2023-01-01,-0.003000,-0.023109,0.003268,-0.008181,0.434064,False,58
2,2022-12-01,2023-02-01,-0.013875,-0.018791,-0.005422,-0.011217,0.433443,False,59
2,2023-01-01,2023-03-01,0.002997,-0.012307,-0.005257,-0.008314,0.433604,False,60
2,2023-02-01,2023-04-01,-0.007944,-0.008104,-0.011927,-0.010271,0.433242,False,61
2,2023-03-01,2023-05-01,0.003992,-0.008161,-0.001668,-0.004481,0.433282,False,62
2,2023-04-01,2023-06-01,-0.000998,-0.010967,-0.008337,-0.009476,0.433032,False,63
2,2023-05-01,2023-07-01,-0.015826,-0.012445,-0.001059,-0.005988,0.432931,False,64
2,2023-06-01,2023-08-01,0.002004,-0.015732,-0.004148,-0.009169,0.433439,False,65
2,2023-07-01,2023-09-01,0.014257,-0.018513,-0.013661,-0.015761,0.432852,False,66
2,2023-08-01,2023-10-01,0.003006,-0.015764,-0.002326,-0.008134,0.432191,False,67
2,2023-09-01,2023-11-01,0.014028,-0.011305,0.005159,-0.001945,0.431513,False,68
2,2023-10-01,2023-12-01,0.032032,-0.011474,-0.001685,-0.005897,0.430322,False,69
2,2023-11-01,2024-01-01,0.020060,-0.011038,0.005096,-0.001820,0.428642,False,70
2,2023-12-01,2024-02-01,0.022111,-0.010219,0.016576,0.005133,0.427046,False,71
2,2024-01-01,2024-03-01,0.017928,-0.009682,0.008981,0.001049,0.424996,False,72
2,2024-02-01,2024-04-01,0.020020,-0.010117,0.010809,0.001945,0.423579,False,73
2,2024-03-01,2024-05-01,0.000000,-0.008335,0.008561,0.001433,0.421881,False,74
2,2024-04-01,2024-06-01,0.049950,-0.009671,0.010036,0.001720,0.421990,False,75
2,2024-05-01,2024-07-01,0.040201,-0.006521,-0.002248,-0.004033,0.417735,False,76
