h,alvo,y_true,y_comb,erro_abs
1,2021-02-01,0.02159,0.021027,0.000563
1,2021-03-01,0.085106,0.009044,0.076062
1,2021-04-01,0.325828,0.048519,0.277309
1,2021-05-01,0.244772,0.265483,0.020711
1,2021-06-01,0.126257,0.18601,0.059753
1,2021-07-01,0.017418,0.084916,0.067498
1,2021-08-01,-0.01291,0.008822,0.021732
1,2021-09-01,-0.041586,-0.010243,0.031343
1,2021-10-01,-0.06,-0.028664,0.031336
1,2021-11-01,-0.063567,-0.040613,0.022954
1,2021-12-01,-0.044805,-0.044567,0.000238
1,2022-01-01,-0.05303,-0.032203,0.020827
1,2022-02-01,-0.03074,-0.039215,0.008475
1,2022-03-01,-0.018627,-0.024647,0.00602
1,2022-04-01,0.005994,-0.016558,0.022552
1,2022-05-01,-0.009881,0.000353,0.010234
1,2022-06-01,-0.005952,-0.010071,0.004119
1,2022-07-01,0.018127,-0.006872,0.024999
1,2022-08-01,0.004024,0.00895,0.004926
1,2022-09-01,-0.009082,-0.000485,0.008597
1,2022-10-01,0.011145,-0.009668,0.020813
1,2022-11-01,0.011145,0.003353,0.007792
1,2022-12-01,-0.002994,0.002966,0.00596
1,2023-01-01,-0.003,-0.006264,0.003264
1,2023-02-01,-0.013875,-0.005515,0.00836
1,2023-03-01,0.002997,-0.012243,0.01524
1,2023-04-01,-0.007944,-0.000817,0.007127
1,2023-05-01,0.003992,-0.007975,0.011967
1,2023-06-01,-0.000998,-0.000336,0.000662
