origem,alvo,h,modelo,y_true,q10,q20,q30,q40,q50,q60,q70,q80,q90,media
2018-01-01,2018-02-01,1,dfm_1f,0.013793,-0.109058,-0.090276,-0.072265,-0.067714,-0.050744,-0.024978,0.004685,0.025939,0.037774,-0.037219
2018-01-01,2018-02-01,1,dfm_2f,0.013793,-0.045154,-0.035888,-0.027723,-0.017375,-0.012713,0.000284,0.00734,0.021932,0.034571,-0.007165
2018-02-01,2018-03-01,1,dfm_1f,0.045,-0.108997,-0.090185,-0.070691,-0.063297,-0.048332,-0.005675,0.007668,0.027007,0.036383,-0.035133
2018-02-01,2018-03-01,1,dfm_2f,0.045,-0.032602,-0.022943,-0.015328,-0.002689,0.000221,0.012683,0.020792,0.033496,0.046238,0.005147
2018-03-01,2018-04-01,1,dfm_1f,0.05005,-0.109205,-0.090549,-0.070244,-0.059629,-0.047441,0.005364,0.008768,0.028639,0.041545,-0.033104
2018-03-01,2018-04-01,1,dfm_2f,0.05005,-0.008628,-0.003168,0.008772,0.019549,0.021354,0.028893,0.039589,0.047433,0.063084,0.025055
2018-04-01,2018-05-01,1,dfm_1f,-0.068725,-0.109637,-0.091187,-0.070231,-0.058058,-0.047156,0.004992,0.010909,0.029197,0.045476,-0.031504
2018-04-01,2018-05-01,1,dfm_2f,-0.068725,-0.014361,-0.008367,0.0018,0.0119,0.017301,0.021118,0.032707,0.045038,0.052695,0.019088
2018-05-01,2018-06-01,1,dfm_1f,0.036525,-0.109767,-0.091581,-0.070179,-0.062536,-0.048521,0.004359,0.009062,0.028303,0.04449,-0.032925
2018-05-01,2018-06-01,1,dfm_2f,0.036525,-0.007195,-0.001804,0.009038,0.020857,0.023481,0.032556,0.042094,0.048269,0.062534,0.024571
2018-06-01,2018-07-01,1,dfm_1f,0.031527,-0.109129,-0.091158,-0.070363,-0.059366,-0.049993,0.003989,0.012664,0.030393,0.04419,-0.031411
2018-06-01,2018-07-01,1,dfm_2f,0.031527,-0.007223,-0.001861,0.010096,0.019459,0.022172,0.031229,0.038855,0.048076,0.057648,0.023432
2018-07-01,2018-08-01,1,dfm_1f,0.02266,-0.107322,-0.087878,-0.07016,-0.058569,-0.045914,0.003282,0.020268,0.032477,0.045159,-0.029298
2018-07-01,2018-08-01,1,dfm_2f,0.02266,-0.004779,2.5e-05,0.009733,0.020292,0.023154,0.027182,0.031712,0.03792,0.050964,0.020475
2018-08-01,2018-09-01,1,dfm_1f,-0.010795,-0.105756,-0.085054,-0.068952,-0.05748,-0.042769,0.002819,0.023102,0.033364,0.045965,-0.027459
2018-08-01,2018-09-01,1,dfm_2f,-0.010795,-0.007679,-0.001011,0.00859,0.017101,0.02143,0.027803,0.035867,0.044333,0.052177,0.02123
2018-09-01,2018-10-01,1,dfm_1f,-0.005831,-0.105145,-0.083196,-0.068402,-0.056576,-0.036178,0.002337,0.022699,0.033009,0.046016,-0.02693
2018-09-01,2018-10-01,1,dfm_2f,-0.005831,-0.013261,-0.009773,0.001309,0.011897,0.015043,0.02043,0.02392,0.031134,0.042747,0.012335
2018-10-01,2018-11-01,1,dfm_1f,-0.010649,-0.104028,-0.081013,-0.067748,-0.055963,-0.029892,0.001421,0.021567,0.032619,0.046582,-0.026029
2018-10-01,2018-11-01,1,dfm_2f,-0.010649,-0.023666,-0.016231,-0.007134,0.002843,0.007899,0.011565,0.016402,0.020145,0.035832,0.004282
2018-11-01,2018-12-01,1,dfm_1f,-0.038643,-0.103712,-0.079541,-0.06774,-0.055983,-0.020723,0.000227,0.019904,0.031549,0.046469,-0.025725
2018-11-01,2018-12-01,1,dfm_2f,-0.038643,-0.028081,-0.023115,-0.011781,-0.007345,0.000451,0.005899,0.009587,0.015914,0.027601,-0.002411
2018-12-01,2019-01-01,1,dfm_1f,-0.021215,-0.103893,-0.078687,-0.067944,-0.05438,-0.030496,-0.000117,0.018137,0.030847,0.045928,-0.026245
2018-12-01,2019-01-01,1,dfm_2f,-0.021215,-0.049719,-0.042457,-0.034874,-0.024947,-0.01951,-0.015662,-0.010464,-0.005847,0.005987,-0.022839
2019-01-01,2019-02-01,1,dfm_1f,-0.01069,-0.104033,-0.077674,-0.067869,-0.052614,-0.025725,-9.7e-05,0.015619,0.030337,0.04545,-0.026241
2019-01-01,2019-02-01,1,dfm_2f,-0.01069,-0.060899,-0.053029,-0.045586,-0.035027,-0.030418,-0.027061,-0.021333,-0.018518,-0.006531,-0.033999
2019-02-01,2019-03-01,1,dfm_1f,-0.031579,-0.104096,-0.07674,-0.067788,-0.051401,-0.021424,-0.001711,0.01163,0.029595,0.045013,-0.026147
2019-02-01,2019-03-01,1,dfm_2f,-0.031579,-0.06236,-0.053935,-0.045514,-0.03644,-0.031825,-0.028867,-0.022277,-0.018954,-0.007085,-0.034984
2019-03-01,2019-04-01,1,dfm_1f,-0.028599,-0.104308,-0.075214,-0.067253,-0.049827,-0.02512,-0.003173,0.008017,0.02928,0.044428,-0.026041
2019-03-01,2019-04-01,1,dfm_2f,-0.028599,-0.063716,-0.054218,-0.044818,-0.036369,-0.032647,-0.02957,-0.023374,-0.019683,-0.007916,-0.035535
2019-04-01,2019-05-01,1,dfm_1f,0.08877,-0.104592,-0.073723,-0.066932,-0.049018,-0.028077,-0.005545,0.004574,0.028655,0.043704,-0.026037
2019-04-01,2019-05-01,1,dfm_2f,0.08877,-0.054278,-0.042965,-0.032611,-0.024064,-0.021959,-0.014473,-0.011343,-0.004617,0.005182,-0.023231
2019-05-01,2019-06-01,1,dfm_1f,-0.04,-0.100204,-0.072705,-0.062416,-0.04514,-0.023813,-0.001742,0.015582,0.032601,0.049433,-0.021877
2019-05-01,2019-06-01,1,dfm_2f,-0.04,-0.050279,-0.040275,-0.029386,-0.022079,-0.018115,-0.011646,-0.00739,-0.00216,0.015321,-0.018136
