origem,alvo,h,modelo,y_true,q10,q20,q30,q40,q50,q60,q70,q80,q90,media
2018-01-01,2018-02-01,1,dfm_1f,0.013793,-0.109058,-0.090276,-0.072265,-0.067714,-0.050744,-0.024978,0.004685,0.025939,0.037774,-0.037219
2018-01-01,2018-03-01,2,dfm_1f,0.045000,-0.138834,-0.113300,-0.080639,-0.066869,-0.044460,-0.011619,0.031323,0.052278,0.065193,-0.033911
2018-01-01,2018-02-01,1,dfm_2f,0.013793,-0.045154,-0.035888,-0.027723,-0.017375,-0.012713,0.000284,0.007340,0.021932,0.034571,-0.007165
2018-01-01,2018-03-01,2,dfm_2f,0.045000,-0.051846,-0.046193,-0.034570,-0.023135,-0.013135,-0.002511,0.009270,0.030562,0.050452,-0.007029
2018-02-01,2018-03-01,1,dfm_1f,0.045000,-0.108997,-0.090185,-0.070691,-0.063297,-0.048332,-0.005675,0.007668,0.027007,0.036383,-0.035133
2018-02-01,2018-04-01,2,dfm_1f,0.050050,-0.141832,-0.116781,-0.083040,-0.067169,-0.046235,0.000153,0.032606,0.046507,0.061610,-0.035185
2018-02-01,2018-03-01,1,dfm_2f,0.045000,-0.032602,-0.022943,-0.015328,-0.002689,0.000221,0.012683,0.020792,0.033496,0.046238,0.005147
2018-02-01,2018-04-01,2,dfm_2f,0.050050,-0.031555,-0.026792,-0.014030,-0.002034,0.004182,0.015597,0.026380,0.041900,0.067865,0.010551
2018-03-01,2018-04-01,1,dfm_1f,0.050050,-0.109205,-0.090549,-0.070244,-0.059629,-0.047441,0.005364,0.008768,0.028639,0.041545,-0.033104
2018-03-01,2018-05-01,2,dfm_1f,-0.068725,-0.142782,-0.118391,-0.083741,-0.067275,-0.045732,0.014499,0.031841,0.050361,0.065795,-0.033608
2018-03-01,2018-04-01,1,dfm_2f,0.050050,-0.008628,-0.003168,0.008772,0.019549,0.021354,0.028893,0.039589,0.047433,0.063084,0.025055
2018-03-01,2018-05-01,2,dfm_2f,-0.068725,-0.014282,-0.011252,0.000240,0.011402,0.020183,0.029553,0.039803,0.052014,0.079136,0.024186
2018-04-01,2018-05-01,1,dfm_1f,-0.068725,-0.109637,-0.091187,-0.070231,-0.058058,-0.047156,0.004992,0.010909,0.029197,0.045476,-0.031504
2018-04-01,2018-06-01,2,dfm_1f,0.036525,-0.144390,-0.120300,-0.085784,-0.069387,-0.046983,0.018058,0.030104,0.050781,0.075250,-0.032960
2018-04-01,2018-05-01,1,dfm_2f,-0.068725,-0.014361,-0.008367,0.001800,0.011900,0.017301,0.021118,0.032707,0.045038,0.052695,0.019088
2018-04-01,2018-06-01,2,dfm_2f,0.036525,-0.021294,-0.015834,-0.006265,0.007885,0.015987,0.023142,0.038120,0.056364,0.072663,0.019022
2018-05-01,2018-06-01,1,dfm_1f,0.036525,-0.109767,-0.091581,-0.070179,-0.062536,-0.048521,0.004359,0.009062,0.028303,0.044490,-0.032925
2018-05-01,2018-07-01,2,dfm_1f,0.031527,-0.144656,-0.121049,-0.085822,-0.070567,-0.049264,0.016749,0.029051,0.049683,0.074166,-0.034806
2018-05-01,2018-06-01,1,dfm_2f,0.036525,-0.007195,-0.001804,0.009038,0.020857,0.023481,0.032556,0.042094,0.048269,0.062534,0.024571
2018-05-01,2018-07-01,2,dfm_2f,0.031527,-0.008929,-0.002267,0.008210,0.019412,0.024871,0.036539,0.047435,0.063523,0.078739,0.028802
2018-06-01,2018-07-01,1,dfm_1f,0.031527,-0.109129,-0.091158,-0.070363,-0.059366,-0.049993,0.003989,0.012664,0.030393,0.044190,-0.031411
2018-06-01,2018-08-01,2,dfm_1f,0.022660,-0.144940,-0.117783,-0.087339,-0.071704,-0.051474,0.016464,0.027463,0.051284,0.072634,-0.033573
2018-06-01,2018-07-01,1,dfm_2f,0.031527,-0.007223,-0.001861,0.010096,0.019459,0.022172,0.031229,0.038855,0.048076,0.057648,0.023432
2018-06-01,2018-08-01,2,dfm_2f,0.022660,-0.015516,-0.009894,0.000578,0.012111,0.021368,0.027411,0.040724,0.055019,0.071065,0.021104
2018-07-01,2018-08-01,1,dfm_1f,0.022660,-0.107322,-0.087878,-0.070160,-0.058569,-0.045914,0.003282,0.020268,0.032477,0.045159,-0.029298
2018-07-01,2018-09-01,2,dfm_1f,-0.010795,-0.143593,-0.113517,-0.086367,-0.071386,-0.054422,0.016691,0.033007,0.054326,0.072154,-0.031499
2018-07-01,2018-08-01,1,dfm_2f,0.022660,-0.004779,0.000025,0.009733,0.020292,0.023154,0.027182,0.031712,0.037920,0.050964,0.020475
2018-07-01,2018-09-01,2,dfm_2f,-0.010795,-0.012338,-0.008921,-0.001133,0.008675,0.015404,0.023513,0.032038,0.040840,0.055173,0.015487
2018-08-01,2018-09-01,1,dfm_1f,-0.010795,-0.105756,-0.085054,-0.068952,-0.057480,-0.042769,0.002819,0.023102,0.033364,0.045965,-0.027459
2018-08-01,2018-10-01,2,dfm_1f,-0.005831,-0.142381,-0.109988,-0.086835,-0.068968,-0.048818,0.017849,0.041129,0.055633,0.072267,-0.029521
2018-08-01,2018-09-01,1,dfm_2f,-0.010795,-0.007679,-0.001011,0.008590,0.017101,0.021430,0.027803,0.035867,0.044333,0.052177,0.021230
2018-08-01,2018-10-01,2,dfm_2f,-0.005831,-0.014752,-0.006706,-0.000842,0.011236,0.021054,0.025347,0.038900,0.050329,0.068478,0.020282
2018-09-01,2018-10-01,1,dfm_1f,-0.005831,-0.105145,-0.083196,-0.068402,-0.056576,-0.036178,0.002337,0.022699,0.033009,0.046016,-0.026930
2018-09-01,2018-11-01,2,dfm_1f,-0.010649,-0.141812,-0.107184,-0.086876,-0.065017,-0.043904,0.017293,0.039193,0.055646,0.071955,-0.028799
2018-09-01,2018-10-01,1,dfm_2f,-0.005831,-0.013261,-0.009773,0.001309,0.011897,0.015043,0.020430,0.023920,0.031134,0.042747,0.012335
2018-09-01,2018-11-01,2,dfm_2f,-0.010649,-0.020918,-0.018281,-0.012100,-0.000044,0.006124,0.015108,0.024357,0.036288,0.046917,0.006991
2018-10-01,2018-11-01,1,dfm_1f,-0.010649,-0.104028,-0.081013,-0.067748,-0.055963,-0.029892,0.001421,0.021567,0.032619,0.046582,-0.026029
2018-10-01,2018-12-01,2,dfm_1f,-0.038643,-0.140860,-0.104547,-0.086248,-0.061114,-0.035187,0.017084,0.036697,0.056195,0.072101,-0.027991
2018-10-01,2018-11-01,1,dfm_2f,-0.010649,-0.023666,-0.016231,-0.007134,0.002843,0.007899,0.011565,0.016402,0.020145,0.035832,0.004282
2018-10-01,2018-12-01,2,dfm_2f,-0.038643,-0.023743,-0.018942,-0.012130,-0.003406,0.005463,0.012972,0.020650,0.036607,0.044516,0.004701
2018-11-01,2018-12-01,1,dfm_1f,-0.038643,-0.103712,-0.079541,-0.067740,-0.055983,-0.020723,0.000227,0.019904,0.031549,0.046469,-0.025725
2018-11-01,2019-01-01,2,dfm_1f,-0.021215,-0.140520,-0.102371,-0.085993,-0.061252,-0.025215,0.016455,0.033327,0.054816,0.071742,-0.027517
2018-11-01,2018-12-01,1,dfm_2f,-0.038643,-0.028081,-0.023115,-0.011781,-0.007345,0.000451,0.005899,0.009587,0.015914,0.027601,-0.002411
2018-11-01,2019-01-01,2,dfm_2f,-0.021215,-0.041254,-0.038406,-0.027540,-0.018029,-0.013814,-0.007448,0.001272,0.017642,0.027008,-0.012930
2018-12-01,2019-01-01,1,dfm_1f,-0.021215,-0.103893,-0.078687,-0.067944,-0.054380,-0.030496,-0.000117,0.018137,0.030847,0.045928,-0.026245
2018-12-01,2019-02-01,2,dfm_1f,-0.010690,-0.140324,-0.100065,-0.085595,-0.060596,-0.034094,0.016034,0.029632,0.053744,0.071222,-0.027762
2018-12-01,2019-01-01,1,dfm_2f,-0.021215,-0.049719,-0.042457,-0.034874,-0.024947,-0.019510,-0.015662,-0.010464,-0.005847,0.005987,-0.022839
2018-12-01,2019-02-01,2,dfm_2f,-0.010690,-0.057136,-0.054387,-0.045332,-0.037454,-0.028275,-0.022405,-0.016254,0.002062,0.008854,-0.029283
2019-01-01,2019-02-01,1,dfm_1f,-0.010690,-0.104033,-0.077674,-0.067869,-0.052614,-0.025725,-0.000097,0.015619,0.030337,0.045450,-0.026241
2019-01-01,2019-03-01,2,dfm_1f,-0.031579,-0.140477,-0.097840,-0.085330,-0.060478,-0.024653,0.013227,0.025479,0.052428,0.070274,-0.027681
2019-01-01,2019-02-01,1,dfm_2f,-0.010690,-0.060899,-0.053029,-0.045586,-0.035027,-0.030418,-0.027061,-0.021333,-0.018518,-0.006531,-0.033999
2019-01-01,2019-03-01,2,dfm_2f,-0.031579,-0.067071,-0.063792,-0.053366,-0.044750,-0.036211,-0.031003,-0.024190,-0.010313,-0.003688,-0.039240
2019-02-01,2019-03-01,1,dfm_1f,-0.031579,-0.104096,-0.076740,-0.067788,-0.051401,-0.021424,-0.001711,0.011630,0.029595,0.045013,-0.026147
2019-02-01,2019-04-01,2,dfm_1f,-0.028599,-0.140445,-0.095705,-0.085155,-0.060347,-0.021726,0.008121,0.021365,0.051085,0.069572,-0.027322
2019-02-01,2019-03-01,1,dfm_2f,-0.031579,-0.062360,-0.053935,-0.045514,-0.036440,-0.031825,-0.028867,-0.022277,-0.018954,-0.007085,-0.034984
2019-02-01,2019-04-01,2,dfm_2f,-0.028599,-0.063817,-0.060586,-0.048093,-0.040488,-0.031781,-0.026596,-0.015721,-0.003282,0.001016,-0.034501
2019-03-01,2019-04-01,1,dfm_1f,-0.028599,-0.104308,-0.075214,-0.067253,-0.049827,-0.025120,-0.003173,0.008017,0.029280,0.044428,-0.026041
2019-03-01,2019-05-01,2,dfm_1f,0.088770,-0.141184,-0.093143,-0.084881,-0.059453,-0.023604,0.003172,0.018395,0.049125,0.067660,-0.027711
2019-03-01,2019-04-01,1,dfm_2f,-0.028599,-0.063716,-0.054218,-0.044818,-0.036369,-0.032647,-0.029570,-0.023374,-0.019683,-0.007916,-0.035535
2019-03-01,2019-05-01,2,dfm_2f,0.088770,-0.064085,-0.061132,-0.046810,-0.038241,-0.030495,-0.026789,-0.016521,-0.003288,0.003069,-0.034196
2019-04-01,2019-05-01,1,dfm_1f,0.088770,-0.104592,-0.073723,-0.066932,-0.049018,-0.028077,-0.005545,0.004574,0.028655,0.043704,-0.026037
2019-04-01,2019-06-01,2,dfm_1f,-0.040000,-0.141066,-0.092603,-0.081530,-0.057580,-0.025817,0.000299,0.018861,0.048259,0.066016,-0.028138
2019-04-01,2019-05-01,1,dfm_2f,0.088770,-0.054278,-0.042965,-0.032611,-0.024064,-0.021959,-0.014473,-0.011343,-0.004617,0.005182,-0.023231
2019-04-01,2019-06-01,2,dfm_2f,-0.040000,-0.048950,-0.045957,-0.033102,-0.022886,-0.017101,-0.009987,0.004204,0.015615,0.021726,-0.017013
2019-05-01,2019-06-01,1,dfm_1f,-0.040000,-0.100204,-0.072705,-0.062416,-0.045140,-0.023813,-0.001742,0.015582,0.032601,0.049433,-0.021877
2019-05-01,2019-07-01,2,dfm_1f,-0.042025,-0.136941,-0.093584,-0.077664,-0.055895,-0.028016,0.004983,0.023043,0.053598,0.074572,-0.024282
2019-05-01,2019-06-01,1,dfm_2f,-0.040000,-0.050279,-0.040275,-0.029386,-0.022079,-0.018115,-0.011646,-0.007390,-0.002160,0.015321,-0.018136
2019-05-01,2019-07-01,2,dfm_2f,-0.042025,-0.055368,-0.052327,-0.039312,-0.031739,-0.021349,-0.018380,-0.003590,0.007835,0.014099,-0.021467
2019-06-01,2019-07-01,1,dfm_1f,-0.042025,-0.101628,-0.073490,-0.061502,-0.044816,-0.028872,-0.004455,0.009984,0.030918,0.047465,-0.023598
2019-06-01,2019-08-01,2,dfm_1f,-0.024085,-0.137880,-0.092099,-0.074559,-0.053948,-0.028008,0.000934,0.017635,0.051661,0.072575,-0.025463
2019-06-01,2019-07-01,1,dfm_2f,-0.042025,-0.049010,-0.038438,-0.027280,-0.019757,-0.014345,-0.009230,-0.004542,-0.000180,0.017116,-0.015734
2019-06-01,2019-08-01,2,dfm_2f,-0.024085,-0.051201,-0.048960,-0.036811,-0.024682,-0.018089,-0.013459,0.001334,0.014006,0.020365,-0.017494
2019-07-01,2019-08-01,1,dfm_1f,-0.024085,-0.101377,-0.073919,-0.059550,-0.044051,-0.029972,-0.006930,0.005675,0.030015,0.046872,-0.024347
2019-07-01,2019-09-01,2,dfm_1f,0.005952,-0.136654,-0.091456,-0.072770,-0.051448,-0.029888,-0.001716,0.016387,0.050728,0.072297,-0.025748
2019-07-01,2019-08-01,1,dfm_2f,-0.024085,-0.042091,-0.032512,-0.022621,-0.012408,-0.008320,-0.002761,0.002442,0.005189,0.021341,-0.009662
2019-07-01,2019-09-01,2,dfm_2f,0.005952,-0.039622,-0.032863,-0.022011,-0.010882,-0.002027,0.001275,0.011815,0.028445,0.037707,-0.003484
2019-08-01,2019-09-01,1,dfm_1f,0.005952,-0.100431,-0.073921,-0.058278,-0.043278,-0.029220,-0.008772,0.003978,0.029671,0.046938,-0.024214
2019-08-01,2019-10-01,2,dfm_1f,0.013685,-0.135383,-0.091210,-0.072033,-0.048864,-0.028467,-0.004480,0.016330,0.049928,0.072151,-0.025626
2019-08-01,2019-09-01,1,dfm_2f,0.005952,-0.041614,-0.033867,-0.023636,-0.014043,-0.009154,-0.003874,0.002581,0.007377,0.024706,-0.009673
2019-08-01,2019-10-01,2,dfm_2f,0.013685,-0.046332,-0.041537,-0.030334,-0.021037,-0.011853,-0.005371,0.007057,0.018714,0.027704,-0.011613
2019-09-01,2019-10-01,1,dfm_1f,0.013685,-0.099394,-0.073739,-0.057637,-0.042333,-0.026696,-0.005835,0.005259,0.029440,0.047129,-0.023481
2019-09-01,2019-11-01,2,dfm_1f,-0.009785,-0.134311,-0.091366,-0.071452,-0.049118,-0.027760,-0.000642,0.016992,0.049127,0.071926,-0.024958
2019-09-01,2019-10-01,1,dfm_2f,0.013685,-0.041091,-0.032319,-0.024046,-0.013086,-0.008213,-0.003300,0.002987,0.006574,0.023702,-0.009356
2019-09-01,2019-11-01,2,dfm_2f,-0.009785,-0.044660,-0.039396,-0.027307,-0.018285,-0.009075,-0.002557,0.011067,0.019535,0.030170,-0.009080
2019-10-01,2019-11-01,1,dfm_1f,-0.009785,-0.100195,-0.073514,-0.057928,-0.042311,-0.024798,-0.003333,0.007175,0.027668,0.045625,-0.023740
2019-10-01,2019-12-01,2,dfm_1f,-0.021569,-0.134491,-0.090651,-0.070817,-0.048079,-0.025187,0.004396,0.018294,0.047678,0.069921,-0.024527
2019-10-01,2019-11-01,1,dfm_2f,-0.009785,-0.036712,-0.025138,-0.014177,-0.004590,0.000585,0.004747,0.009158,0.013218,0.025771,-0.002618
2019-10-01,2019-12-01,2,dfm_2f,-0.021569,-0.044701,-0.036972,-0.028763,-0.014283,-0.004752,-0.000099,0.007140,0.022080,0.033216,-0.007125
2019-11-01,2019-12-01,1,dfm_1f,-0.021569,-0.099705,-0.072422,-0.057433,-0.041469,-0.023254,-0.005329,0.005317,0.026868,0.045302,-0.023474
2019-11-01,2020-01-01,2,dfm_1f,-0.002956,-0.133702,-0.090578,-0.068262,-0.047434,-0.023990,0.000705,0.017431,0.046990,0.069119,-0.024279
2019-11-01,2019-12-01,1,dfm_2f,-0.021569,-0.036331,-0.024910,-0.016332,-0.006285,-0.001795,0.003122,0.008390,0.011941,0.027570,-0.003390
2019-11-01,2020-01-01,2,dfm_2f,-0.002956,-0.038126,-0.029217,-0.018978,-0.009623,0.001015,0.006970,0.014963,0.027961,0.039654,-0.000023
2019-12-01,2020-01-01,1,dfm_1f,-0.002956,-0.098638,-0.070968,-0.056591,-0.040233,-0.021569,-0.006641,0.005269,0.026485,0.045471,-0.022964
2019-12-01,2020-02-01,2,dfm_1f,0.000982,-0.132693,-0.090472,-0.065750,-0.047071,-0.022249,-0.001567,0.016536,0.046335,0.068689,-0.024220
2019-12-01,2020-01-01,1,dfm_2f,-0.002956,-0.032953,-0.022101,-0.013422,-0.002426,0.001431,0.007306,0.012752,0.016086,0.032408,-0.000022
2019-12-01,2020-02-01,2,dfm_2f,0.000982,-0.039818,-0.031013,-0.020453,-0.009860,0.001683,0.007908,0.016490,0.029109,0.040188,-0.000023
2020-01-01,2020-02-01,1,dfm_1f,0.000982,-0.097270,-0.069559,-0.056127,-0.039033,-0.021055,-0.004468,0.005183,0.026306,0.046018,-0.022152
2020-01-01,2020-03-01,2,dfm_1f,-0.071146,-0.131424,-0.089994,-0.064140,-0.046743,-0.020666,0.001675,0.015874,0.045256,0.068981,-0.023688
2020-01-01,2020-02-01,1,dfm_2f,0.000982,-0.026732,-0.016866,0.002846,0.011342,0.023210,0.048970,0.066735,0.086443,0.095267,0.033321
2020-01-01,2020-03-01,2,dfm_2f,-0.071146,-0.059551,-0.036694,-0.016271,0.004086,0.016504,0.041716,0.076953,0.102131,0.117936,0.029191
2020-02-01,2020-03-01,1,dfm_1f,-0.071146,-0.096364,-0.068317,-0.055899,-0.037945,-0.020586,-0.002840,0.004927,0.025841,0.046165,-0.021566
2020-02-01,2020-04-01,2,dfm_1f,-0.259078,-0.129992,-0.089570,-0.063999,-0.046115,-0.020576,0.003871,0.015647,0.044421,0.068432,-0.023220
2020-02-01,2020-03-01,1,dfm_2f,-0.071146,-0.036253,-0.022158,-0.004998,0.001634,0.015257,0.040715,0.057792,0.078317,0.087881,0.024863
2020-02-01,2020-04-01,2,dfm_2f,-0.259078,-0.074614,-0.050033,-0.028423,-0.012487,0.000291,0.024741,0.060241,0.087057,0.102617,0.013369
2020-03-01,2020-04-01,1,dfm_1f,-0.259078,-0.096078,-0.070724,-0.056945,-0.039949,-0.021603,-0.004407,0.003567,0.024663,0.044899,-0.023038
2020-03-01,2020-05-01,2,dfm_1f,-0.201375,-0.128418,-0.090294,-0.067376,-0.047291,-0.020701,0.002434,0.015580,0.043970,0.067817,-0.024155
2020-03-01,2020-04-01,1,dfm_2f,-0.259078,-0.051414,-0.038419,-0.021453,-0.011565,-0.001274,0.022651,0.041583,0.060429,0.070167,0.007902
